Date,Ngay,Stock,GiaDieuChinh,GiaDongCua,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaThayDoi,ThayDoiPhanTram,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan
2025-06-20,20/06/2025,HPG,27.0,27.0,27.0,27.1,26.85,0.1,0.37,0.1(0.37 %),23416400,631449780000,520000,14175000000
2025-06-19,19/06/2025,HPG,26.9,26.9,27.15,27.2,26.8,-0.25,-0.92,-0.25(-0.92 %),23408200,631195095000,0,0
2025-06-18,18/06/2025,HPG,27.15,27.15,26.9,27.2,26.8,0.3,1.12,0.3(1.12 %),31468200,850427995000,1785000,2365000000
2025-06-17,17/06/2025,HPG,26.85,26.85,26.9,27.1,26.75,0.1,0.37,0.1(0.37 %),26625600,716295425000,96200,2501200000
2025-06-16,16/06/2025,HPG,26.75,26.75,26.35,27.0,26.35,0.35,1.33,0.35(1.33 %),29735100,793895030000,2250297,50948206200
2025-06-13,13/06/2025,HPG,26.4,26.4,26.6,26.75,26.3,-0.4,-1.49,-0.4(-1.49 %),38769800,1026839630000,2123,52968850
2025-06-12,12/06/2025,HPG,26.8,26.8,26.15,27.1,26.15,0.7,2.68,0.7(2.68 %),52217900,1396969420000,3308023,88008773887
2025-06-11,11/06/2025,HPG,26.1,26.1,26.3,26.35,26.0,-0.1,-0.38,-0.1(-0.38 %),16548100,431812725000,630000,15372000000
2025-06-10,10/06/2025,HPG,26.2,26.2,26.5,26.85,26.2,-0.1,-0.38,-0.1(-0.38 %),29410900,780628190000,3308023,88570004900
2025-06-09,09/06/2025,HPG,26.3,26.3,26.1,26.4,25.95,0.25,0.96,0.25(0.96 %),24987900,654318445000,255000,6885000000
2025-06-06,06/06/2025,HPG,26.05,26.05,26.05,26.5,25.9,0.3,1.17,0.3(1.17 %),42244000,1106786450000,0,0
2025-06-05,05/06/2025,HPG,25.75,25.75,26.0,26.05,25.7,-0.2,-0.77,-0.2(-0.77 %),18786300,485585965000,500000,12850000000
